Asset ID,Label,Description,Filename,Prompt Used
qjdc69uvy,"Dishwasher Repair Integrate...","Dishwasher Repair Integrated luxury dishwasher with custom wood paneling in a high-end Las Vegas kitchen, technician inspecting the internal stainless steel tub, bright and clean.",dishwasher-repair-integrate....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Dishwasher Repair Integrate...
  - Requirement: Dishwasher Repair Integrated luxury dishwasher with custom wood paneling in a high-end Las Vegas kitchen, technician inspecting the internal stainless steel tub, bright and clean.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
1akzxstcc,"Oven Repair Professional-gr...","Oven Repair Professional-grade double wall oven in a modern designer kitchen, technician using a digital thermometer to calibrate, luxury interior design, cinematic lighting.",oven-repair-professional-gr....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Oven Repair Professional-gr...
  - Requirement: Oven Repair Professional-grade double wall oven in a modern designer kitchen, technician using a digital thermometer to calibrate, luxury interior design, cinematic lighting.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
zjcsq6rqs,"Stove Repair High-end gas r...","Stove Repair High-end gas range with blue flames in a luxury chef's kitchen, stainless steel and marble background, professional service aesthetic, bright Mojave light.",stove-repair-high-end-gas-r....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Stove Repair High-end gas r...
  - Requirement: Stove Repair High-end gas range with blue flames in a luxury chef's kitchen, stainless steel and marble background, professional service aesthetic, bright Mojave light.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
usafnlxi1,"Range Repair Large 48-inch ...","Range Repair Large 48-inch professional range in a high-end desert mansion, technician checking the heavy-duty burners, luxury morning light, 8k.",range-repair-large-48-inch-....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Range Repair Large 48-inch ...
  - Requirement: Range Repair Large 48-inch professional range in a high-end desert mansion, technician checking the heavy-duty burners, luxury morning light, 8k.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
alq2gn69u,"Cooktop Repair Sleek induct...","Cooktop Repair Sleek induction cooktop in a minimalist luxury kitchen, clean glass surface reflecting designer lighting, professional diagnostic tool nearby.",cooktop-repair-sleek-induct....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Cooktop Repair Sleek induct...
  - Requirement: Cooktop Repair Sleek induction cooktop in a minimalist luxury kitchen, clean glass surface reflecting designer lighting, professional diagnostic tool nearby.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
skbr7dmbf,"Microwave Repair Built-in l...","Microwave Repair Built-in luxury microwave drawer being serviced in a modern kitchen with custom cabinetry, professional technician, high-end aesthetic.",microwave-repair-built-in-l....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Microwave Repair Built-in l...
  - Requirement: Microwave Repair Built-in luxury microwave drawer being serviced in a modern kitchen with custom cabinetry, professional technician, high-end aesthetic.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
kr8nh7em3,"Garbage Disposal Repair Und...","Garbage Disposal Repair Under-sink view of a premium garbage disposal unit in a luxury kitchen, clean plumbing, bright workspace, professional service feel.",garbage-disposal-repair-und....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Garbage Disposal Repair Und...
  - Requirement: Garbage Disposal Repair Under-sink view of a premium garbage disposal unit in a luxury kitchen, clean plumbing, bright workspace, professional service feel.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
2b7nw3fai,"Vent Hood Repair Massive ar...","Vent Hood Repair Massive architectural stainless steel vent hood over a luxury range, technician inspecting the high-flow filters, designer kitchen lighting.",vent-hood-repair-massive-ar....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Vent Hood Repair Massive ar...
  - Requirement: Vent Hood Repair Massive architectural stainless steel vent hood over a luxury range, technician inspecting the high-flow filters, designer kitchen lighting.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
9abj1bvpk,"Built-in Oven Repair Sleek ...","Built-in Oven Repair Sleek built-in convection oven in a high-end Henderson home, technician checking the door seals and digital interface, luxury aesthetic.",built-in-oven-repair-sleek-....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Built-in Oven Repair Sleek ...
  - Requirement: Built-in Oven Repair Sleek built-in convection oven in a high-end Henderson home, technician checking the door seals and digital interface, luxury aesthetic.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
tftsvscnk,"Double Oven Repair High-end...","Double Oven Repair High-end double wall oven unit, technician performing maintenance on both levels, luxury kitchen context, bright and professional.",double-oven-repair-high-end....png,"Generate a high-quality professional website asset for a business.
  
  Business Context:
  - Name: Profix Appliance Repair
  - Industry: Profix Appliance Repair
  - Description: Modern, Professional, technicians wear black polos
  - Visual Style: Modern, Professional, technicians wear black polos
  
  Specific Asset to Generate:
  - Label: Double Oven Repair High-end...
  - Requirement: Double Oven Repair High-end double wall oven unit, technician performing maintenance on both levels, luxury kitchen context, bright and professional.
  
  Instructions:
  The image should be modern, clean, and perfectly suited for a premium website layout. 
  Ensure the colors and aesthetic match the Modern, Professional, technicians wear black polos style described.
  Reference the aesthetic of the provided business logo in the generation.
  Do not include any text, labels, or watermarks in the image itself."
